sector_name,gcom_sector_name,feature_key,feature_value,feature_category
Transportation,Transport,amenity,car_wash,Transportation
Transportation,Transport,,bicycle_rental,
Transportation,Transport,,bicycle_parking,
Transportation,Transport,amenity,bicycle_repair_station,
Transportation,Transport,,ferry_terminal,
Transportation,Transport,,vehicle_inspection,
Transportation,Transport,amenity,car_sharing,Transportation
Transportation,Transport,,garage,
Transportation,Transport,amenity,taxi,Transportation
Waste_Management,Waste management,amenity,recycling,Waste_Management
Waste_Management,Waste management,amenity,waste_disposal,Waste_Management
Waste_Management,Waste management,amenity,waste_basket,
Waste_Management,Waste management,amenity,waste_transfer_station,Waste_Management
Public_Service,Society/community & culture,building,civic,Civic_Amenity
Public_Service,Society/community & culture,building,government,Civic_Amenity
Entertainment_Art_Culture,Society/community & culture,building,religious,Religious
Entertainment_Art_Culture,Society/community & culture,building,stadium,Sports
Others,Energy,building,transformer_tower,Power_Technical_buildings
Others,Water supply and sanitation,building,water_tower,Power_Technical_buildings
Others,Other,building,storage_tank,
Others,Other,building,office,
industrial,Industrial,,industrial,
Others,Other,,warehouse,
agriculture,Food & Agriculture,,greenhouse,
Others,Other,,roof,
Others,Transport,,bridge,
Others,Other,,grave_yard,
Others,Other,,window,
Others,Other,amenity,animal_shelter,Others
Others,Other,amenity,vending_machine,Others
Others,Other,,pet,
Others,Other,,urbano,
Others,Other,,device_charging_station,
Others,Other,,pest_control,
Others,Other,,bicycle,
Others,Other,,crematorium,
Others,Other,,animal_breeding,
Others,Other,,compressed_air,
